Gene_ID,decay_rate,std.error,conf.low,conf.high
ENSDARG00000000001,-0.43177059961229625,0.06101662505994954,-0.5677241125254492,-0.2958170866991433
ENSDARG00000000018,0.1329992871166734,0.048722460313169784,0.024438880328540455,0.2415596939048063
ENSDARG00000000019,0.06679057130272004,0.019003100550440865,0.024449024658081,0.10913211794735908
ENSDARG00000000068,0.005733802992109101,0.02026908865926072,-0.03942854094394409,0.050896146928162286
ENSDARG00000000069,-0.33666219582716894,0.031881140851577526,-0.4076978044042156,-0.2656265872501223
ENSDARG00000000086,0.31061145672546275,0.04280942778976365,0.2152261074357895,0.405996806015136
ENSDARG00000000103,0.12924141032901953,0.024197475093480882,0.07532607595326458,0.1831567447047745
ENSDARG00000000142,-0.024720378168441637,0.021774004669278514,-0.07323588393539163,0.02379512759850836
ENSDARG00000000151,-0.21064038745490965,0.07074525723769287,-0.3682706436999763,-0.05301013120984302
ENSDARG00000000161,0.05560860341326759,0.061335461564878055,-0.08105532150394804,0.19227252833048322
ENSDARG00000000175,-0.2815192480885375,0.06045636711260565,-0.4162244285020794,-0.14681406767499564
ENSDARG00000000183,-0.007165029577710101,0.01691688261029643,-0.04485819297620255,0.030528133820782347
ENSDARG00000000189,-0.5901375260674343,0.0479029597191673,-0.6968719717428444,-0.4834030803920242
ENSDARG00000000229,-0.018494865868887947,0.07121700511901703,-0.17717624189667514,0.14018651015889927
ENSDARG00000000241,0.1811290224657583,0.03833798928224584,0.095706659038953,0.2665513858925636
ENSDARG00000000324,0.0077618113624394235,0.02372277641833121,-0.04509582845222813,0.06061945117710698
ENSDARG00000000370,0.13563094141152807,0.04134626160183808,0.0435057295520844,0.22775615327097173
ENSDARG00000000380,-0.20050725774550124,0.09206096253119392,-0.40563186511250704,0.004617349621504535
ENSDARG00000000394,0.12421600611766809,0.033517686960050544,0.049533945573265764,0.1988980666620704
ENSDARG00000000423,-0.21756133405847852,0.07018275781499075,-0.3739382634856027,-0.06118440463135433
ENSDARG00000000442,0.09546491050386521,0.038664764558796014,0.009314446387509875,0.18161537462022054
ENSDARG00000000472,0.11854865949771952,0.05411139122031751,-0.002019033615298871,0.2391163526107379
ENSDARG00000000476,-0.012226121272710666,0.020954751516118898,-0.05891621725949346,0.03446397471407213
