gene_id,PLS1,PLS2,specie
ENSDARG00000000001,-0.8743835847895914,-1.4126181108127729,fish
ENSDARG00000000018,1.1057016809847025,1.6063504818335137,fish
ENSDARG00000000019,1.2567849749210174,0.9560717184398473,fish
ENSDARG00000000068,2.350271626938352,2.0131857960379222,fish
ENSDARG00000000069,1.1791722101747604,1.4601400321992466,fish
ENSDARG00000000086,1.5551866722669152,0.6358770663314471,fish
ENSDARG00000000103,2.2549115637963726,0.9575506448905415,fish
ENSDARG00000000142,2.105144300254055,-2.4651474862836564,fish
ENSDARG00000000151,1.4283110689412297,-2.123292887693623,fish
ENSDARG00000000161,0.06957283358716754,-0.5302347855377545,fish
ENSDARG00000000175,-0.27773127540931,-2.027680493133805,fish
ENSDARG00000000183,-0.13996719018700987,-1.9796764404904592,fish
ENSDARG00000000189,1.0461574180218074,-0.2259728258450531,fish
ENSDARG00000000212,3.198828012340471,2.117133748325076,fish
ENSDARG00000000229,1.5044777321393277,-5.903878241355061,fish
ENSDARG00000000241,1.686229232314957,1.6625465108160462,fish
ENSDARG00000000349,-4.799602431755028,0.5235425497581286,fish
ENSDARG00000000369,-0.13749163446856016,0.07399863159777585,fish
ENSDARG00000000380,0.8896347683330976,1.1465075722489144,fish
ENSDARG00000000394,-1.3686592737079069,2.616024332217444,fish
ENSDARG00000000423,-2.4301128934871365,0.4772351753576663,fish
ENSDARG00000000442,0.39929714895264684,2.61293476875086,fish
ENSDARG00000000476,0.46260248760974165,1.1003344460935753,fish
ENSDARG00000000489,-1.2983049048812,0.42134436845235873,fish
ENSDARG00000000503,0.9301006903117734,0.6599226462677114,fish
ENSDARG00000000516,-2.468712738915345,0.46171967724330787,fish
ENSDARG00000000529,-0.5793545564597193,-1.784122413188461,fish
ENSDARG00000000540,-3.4633239906777344,1.9398918593774086,fish
ENSDARG00000000542,1.4986413211992555,0.775980250304452,fish
ENSDARG00000000551,2.5785496217061814,1.469139723072228,fish
ENSDARG00000000563,-2.4529932025491763,4.141122533139976,fish
ENSDARG00000000567,0.19574144490357837,0.8919032669007151,fish
ENSDARG00000000568,0.4442103098534069,-1.9045806561891112,fish
ENSDARG00000000588,0.5358164934341909,-1.4315416216125052,fish
ENSDARG00000000631,0.04870918716232639,0.09456210829237707,fish
ENSDARG00000000638,0.19080496788579182,1.8362874119437698,fish
ENSDARG00000000651,-2.8805742377615577,0.25906779295166493,fish
ENSDARG00000000656,-0.46945171452439893,1.9110180194665438,fish
ENSDARG00000000666,1.140732701034198,-2.1977577017496985,fish
ENSDARG00000000690,-1.4756899555382654,0.19363996351565843,fish
ENSDARG00000000729,0.3559365201515191,0.3179362991997097,fish
ENSDARG00000000730,-1.0406246814349398,1.6325639895807906,fish
ENSDARG00000000747,-2.033245554194907,1.522994825386574,fish
ENSDARG00000000760,-4.410749464918246,-1.1459185579186781,fish
ENSDARG00000000767,-0.6157679483829686,-0.6515170369277109,fish
ENSDARG00000000779,0.3053740020121306,1.5940712803400179,fish
ENSDARG00000000796,0.18785875493512025,-0.3149248323073427,fish
ENSDARG00000000804,-3.799708192121231,-0.029934943391259235,fish
ENSDARG00000000830,-0.351496876500657,-1.7238284914267166,fish
